business_name,category,website,public_email,email_status,public_phone,phone_status,contact_quality,address,city,state,postal_code,opportunity_signal,opportunity_score,credibility_score,credibility_reason,distance_miles,source_confidence,source_id
Alvarez Roofing Services,roofing contractor,https://alvarezroofingcontractor.com/,info@alvarezroofingcontractor.com,mx_ok,+17272351378,valid_format,both,,Pinellas Park,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,E:\KnightLogics-Growth-System\CRM\OutreachEngine\kg_primo_1000_leads.csv
Strategic Roofing,roofing contractor,http://strategic-roofers.com/,office@strategic-roofers.com,mx_ok,+17274427663,valid_format,both,,Pinellas Park,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,E:\KnightLogics-Growth-System\CRM\OutreachEngine\kg_primo_1000_leads.csv
SB Pro Roofing,roofing contractor,https://sbproroofing.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=pinellas-park,info@sbproroofing.com,mx_ok,+17275949787,valid_format,both,,Pinellas Park,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,E:\KnightLogics-Growth-System\CRM\OutreachEngine\kg_primo_1000_leads.csv
ICAS Storm Restoration,roofing,http://icasstormrestoration.com,info@icasstormrestoration.com,mx_ok,+14073468011,valid_format,both,5827 Dahlia Dr,Orlando,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,8a05d267-bfda-4d5a-a2b6-113921a910c4
VNPS Roofing,property_management,http://www.vnpsroofing.com/,info@vnpsroofing.com,mx_ok,+18136095596,valid_format,both,14034 N Florida Ave,Tampa,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,b23c2978-8ff5-48c9-86f6-7e25f2cbe31b
Millard Roofing,roofing,http://www.millardroofing.com/,info@millardroofing.com,mx_ok,+18136614522,valid_format,both,6901 78th St S,Riverview,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,fd5d8738-b5d4-4700-b0f7-71a57bb8cc7b
"Code Engineered Systems, Inc",roofing,https://roofstampa.com/,cesystems2@gmail.com,mx_ok,+18133739088,valid_format,both,8267 Causeway Blvd Suite E,Tampa,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,23b51b27-5d0e-44f7-b81f-aa5aed32e907
Service Pro Roofing LLC,roofing,http://serviceproroofing.com/tampa,admin@serviceproroofing.com,mx_ok,+18132146816,valid_format,both,8267 Causeway Blvd Ste F,Tampa,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,cf089c59-dc41-4895-a095-a5b7d0296401
Brsd Roofing,roofing,https://brsdroofing.com/,teebobble@hotmail.com,mx_ok,+18133740201,valid_format,both,11203 US-301 S,Riverview,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,5231da67-5482-4cda-87f9-ebf4ad3ea34b
Trinity Restoration & Roofing Tampa,roofing,https://trinityrestoration.com/,office@trinityrestoration.com,mx_ok,+18137721737,valid_format,both,10835 Park Dr,Riverview,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,e8968f0c-9e37-441e-b0c6-6fc14a0c668f
Shingle Masters Roofing and Construction,roofing,http://www.shingle-masters.com/,estimate@shingle-masters.com,mx_ok,+18136777663,valid_format,both,7409 Commerce St,Riverview,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,e35677bc-bad4-4ff4-ba37-4f4bbe9fa78b
Vanderprises,roofing,https://www.vanderprises.com/,info@vanderprises.com,mx_ok,+18132917663,valid_format,both,7853 US Highway 301 S,Riverview,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,fb1d3e4d-0e28-41f0-86a1-c6d352b0e537
Wayne Gonzalez Roofing Contractor,roofing,https://waynegonzalezroofing.com/,sgonzalez@waynegonzalezroofing.com,mx_ok,+18136532279,valid_format,both,5625 Patterson Rd,Riverview,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,dacdab6c-666d-426f-ae5c-81451453287d
"Reese Roofing & Construction, Brandon Roofers",roofing,https://www.reeseroofing.com/,info@reeseroofing.com,mx_ok,+17276773373,valid_format,both,522 Oakfield Dr,Brandon,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,131329e7-9019-4370-8109-702724d2f8e6
Best Darn Roofing Pros,roofing,https://bestdarnroofingpros.xyz,ryan@bestdarnroofingpros.xyz,mx_ok,+16562210251,valid_format,both,435 Lithia Pinecrest Rd Floor 1,Brandon,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,c3760780-0ed8-4120-9e2d-217099206665
Mighty Dog Roofing of Southeast Tampa,roofing,https://www.mightydogroofing.com/southeast-tampa-fl/,help@mightydogroofing.com,mx_ok,+18135796973,valid_format,both,339 E Robertson St,Brandon,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,3412ae24-0d5a-467b-9e28-e5fdc6aa21dd
Roof X,roofing,https://www.roofxincfl.com,rdiaz.roofx@gmail.com,mx_ok,+18135901124,valid_format,both,433 Lithia Pinecrest Rd,Brandon,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,45fdaa9d-e599-48f9-8c92-8cadba910a84
Harbor Roofing,roofing,https://harborroofing.com/,info@harborroofing.com,mx_ok,+18133307022,valid_format,both,644 E Bloomingdale Ave,Brandon,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,9c60f394-575e-4ec3-a6db-0641e6465f48
Cardinal Roofing,roofing,http://www.cardinalroofingfl.com/,office@cardinalroofingfl.com,mx_ok,+18136897663,valid_format,both,1312 Orangewalk Dr,Brandon,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,4c037cc1-4744-48f7-9860-f7211a4a7675
Certified Roofers and General Contractors Inc.,roofing,https://certifiedroofers.com/,info@certifiedroofers.com,mx_ok,+18136438333,valid_format,both,4331 Lynx Paw Trl,Valrico,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,5f861336-698a-4105-a76a-59361f86892c
"All Seasons Roofing, Inc.",roofing,https://www.allseasonsroofings.com/,info@allseasonsroofings.com,mx_ok,+18136843698,valid_format,both,2722 Saint Anthony Dr,Valrico,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,fc1c28ec-292d-400b-8321-7d5a443d6e37
R Bennett Construction & Roofing,roofing,https://www.rbennettconstructionandroofing.com/,ronbroofing@gmail.com,mx_ok,+18139324003,valid_format,both,2701 Herndon St,Valrico,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,39c834d4-4db6-458b-bd08-91bbf67cb8c4
Sidd Roofing Inc,roofing,https://siddroofing.com/,info@siddroofing.com,mx_ok,+18138370000,valid_format,both,4306 E Broadway Ave,Tampa,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,ea3635d8-ae0f-4cd1-8913-e1a7906cbf9a
Central Homes Roofing & Solar Services,roofing,https://centralhomesroofing.com/,office@chroof.com,mx_ok,+14077327262,valid_format,both,4420 E Adamo Dr Ste 206,Tampa,FL,,Website reachable,40,75,email MX verified; valid US phone,,0.85,9bfe72c0-bfb6-4847-b471-c8adc4c4dad4
HP Storm Restoration - Roofing Company,roofing,,,missing,+18138535105,valid_format,valid_phone,2710 W Virginia Ave,Tampa,FL,,No website listed,100,65,valid US phone; no website — strong outreach gap; weak online presence,,0.85,a7251597-bc9d-43bc-aa1b-d22b4c78177c
Pride’s Roof Service,roofing,,,missing,+18137581145,valid_format,valid_phone,1712 Kirtley Dr,Brandon,FL,,No website listed,100,65,valid US phone; no website — strong outreach gap; weak online presence,,0.85,f0dcb953-2479-4bf0-92cc-1fb9bbcf9371
JD Contractors,roofing,,,missing,+18136624755,valid_format,valid_phone,207 E Robertson St Ste E,Brandon,FL,,No website listed,100,65,valid US phone; no website — strong outreach gap; weak online presence,,0.85,47e41e1d-d49b-4812-8c9d-6d285a9d31d8
Shingle Masters Roofing & Construction Services Inc,roofing,,,missing,+18136614600,valid_format,valid_phone,2502 Culbreath Cove Ct,Valrico,FL,,No website listed,100,65,valid US phone; no website — strong outreach gap; weak online presence,,0.85,cbc775df-b3f2-41d1-97fd-343438a3ef6c
GAF Tampa Fl,roofing,http://www.gaf.com,,missing,+18132475118,valid_format,valid_phone,5138 Madison Ave,Tampa,FL,,Website HTTP 403; No HTTPS redirect; Missing meta description; No JSON-LD schema detected; No mobile viewport tag; No obvious contact conversion path,100,55,valid US phone; weak online presence,,0.85,9686548d-9dca-421c-a1fd-615c737f1b84
Lifetime Quality Roofing & Storm Restoration Tampa,roofing,https://www.lifetimequalityroofing.com/,,missing,+18135228699,valid_format,valid_phone,510 Vonderburg Dr Ste 306,Brandon,FL,,Website HTTP 403; Missing meta description; No JSON-LD schema detected; No obvious contact conversion path,96,54,valid US phone; weak online presence,,0.85,ca3f77c3-86ef-48f5-8619-1f831027cd35
